timestep,reward,waiting_time_veh,mean_waiting_time_veh,waiting_time_peat_total,mean_waiting_time_peat,peatones_esperando,peatones_cruzados_step,colisiones,infracciones,ambulance_waiting
88000,1.35,96.0,19.2,87.0,21.75,4,2,0,4,0
89000,-0.39,150.0,30.0,292.0,41.714285714285715,7,0,0,7,0
90000,-1.13,343.0,28.583333333333332,0.0,0.0,0,3,0,0,0
91000,-0.67,162.0,20.25,492.0,70.28571428571429,7,0,0,8,0
92000,-0.44,73.0,12.166666666666666,868.0,124.0,7,0,0,7,0
93000,0.65,190.0,19.0,49.0,49.0,1,0,0,1,0
94000,-1.27,215.0,14.333333333333334,247.0,61.75,4,0,0,4,0
95000,1.47,61.0,10.166666666666666,18.0,9.0,2,1,0,2,0
96000,0.37,49.0,24.5,170.0,85.0,2,0,0,2,0
97000,1.57,60.0,15.0,117.0,39.0,3,0,0,3,0
98000,-1.01,318.0,28.90909090909091,81.0,27.0,3,0,0,3,0
99000,-0.69,292.0,41.714285714285715,0.0,0.0,0,2,0,0,0
100000,2.61,468.0,46.8,0.0,0.0,0,0,0,1,0
101000,1.08,306.0,38.25,0.0,0.0,0,0,0,0,0
102000,-0.01,81.0,16.2,86.0,21.5,4,0,0,4,0
103000,0.45,136.0,27.2,48.0,24.0,2,0,0,2,0
104000,0.54,231.0,33.0,46.0,23.0,2,1,0,2,0
105000,-1.02,485.0,40.416666666666664,0.0,0.0,0,0,0,0,0
106000,1.41,85.0,28.333333333333332,14.0,14.0,1,0,0,1,0
107000,1.61,15.0,7.5,67.0,67.0,1,0,0,1,0
108000,-0.61,186.0,20.666666666666668,11.0,11.0,1,2,0,1,0
109000,1.44,128.0,12.8,1.0,1.0,1,0,0,1,0
110000,-0.73,178.0,22.25,1238.0,82.53333333333333,15,0,0,15,0
111000,4.27,92.0,23.0,43.0,43.0,1,0,0,1,0
112000,-0.4,136.0,34.0,94.0,47.0,2,0,0,3,0
113000,-0.57,106.0,17.666666666666668,0.0,0.0,0,4,0,0,0
114000,-0.24,117.0,11.7,9.0,9.0,1,1,0,1,0
115000,1.88,104.0,20.8,78.0,26.0,3,2,0,3,0
116000,-0.72,266.0,24.181818181818183,0.0,0.0,0,0,0,1,0
117000,2.77,158.0,26.333333333333332,0.0,0.0,0,3,0,0,0
118000,0.61,458.0,38.166666666666664,0.0,0.0,0,0,0,1,0
119000,-0.49,128.0,21.333333333333332,894.0,111.75,8,0,0,8,0
120000,2.72,68.0,17.0,22.0,22.0,1,0,0,1,0
121000,-0.4,207.0,51.75,94.0,47.0,2,0,0,2,0
122000,-0.31,122.0,30.5,33.0,16.5,2,0,0,2,0
123000,-0.17,187.0,26.714285714285715,0.0,0.0,0,0,0,1,0
124000,-0.32,32.0,5.333333333333333,22.0,22.0,1,0,0,1,0
125000,-0.41,142.0,28.4,95.0,31.666666666666668,3,0,0,3,0
126000,-1.54,653.0,38.411764705882355,0.0,0.0,0,2,0,0,0
127000,-0.28,114.0,22.8,180.0,60.0,3,0,0,3,0
128000,-0.76,157.0,15.7,444.0,111.0,4,0,0,4,0
129000,-0.5,151.0,30.2,0.0,0.0,0,0,0,0,0
130000,0.27,68.0,11.333333333333334,64.0,32.0,2,0,0,2,0
131000,2.12,204.0,40.8,8.0,4.0,2,2,0,3,0
132000,0.14,21.0,5.25,796.0,72.36363636363636,11,0,0,11,0
133000,0.26,89.0,17.8,37.0,12.333333333333334,3,0,0,3,0
134000,1.55,130.0,18.571428571428573,58.0,19.333333333333332,3,0,0,3,0
135000,-0.95,318.0,31.8,0.0,0.0,0,2,0,0,0
136000,1.19,308.0,25.666666666666668,0.0,0.0,0,0,0,0,0
137000,1.56,313.0,39.125,29.0,29.0,1,0,0,1,0
138000,2.47,58.0,11.6,5.0,2.5,2,0,0,2,0
139000,-0.69,229.0,25.444444444444443,0.0,0.0,0,0,0,0,0
140000,-0.93,294.0,29.4,0.0,0.0,0,1,0,0,0
141000,2.62,32.0,10.666666666666666,693.0,99.0,7,0,0,8,0
142000,-0.84,308.0,25.666666666666668,67.0,16.75,4,1,0,4,0
143000,-0.23,56.0,11.2,117.0,58.5,2,2,0,2,0
144000,0.35,308.0,38.5,0.0,0.0,0,0,0,0,0
145000,2.09,233.0,23.3,0.0,0.0,0,2,0,0,0
146000,0.34,46.0,11.5,771.0,110.14285714285714,7,0,0,7,0
147000,-0.86,189.0,18.9,16.0,16.0,1,0,0,1,0
148000,0.0,0.0,0.0,138.0,69.0,2,0,0,2,0
149000,3.2,27.0,6.75,0.0,0.0,0,1,0,0,0
150000,-0.75,183.0,20.333333333333332,16.0,16.0,1,0,0,1,0
151000,-0.24,162.0,20.25,35.0,17.5,2,1,0,2,0
152000,-0.84,308.0,34.22222222222222,34.0,34.0,1,0,0,1,0
153000,1.14,191.0,27.285714285714285,0.0,0.0,0,4,0,1,0
154000,0.19,350.0,31.818181818181817,8.0,8.0,1,2,0,1,0
155000,-0.69,193.0,21.444444444444443,1703.0,121.64285714285714,14,0,0,14,0
156000,-0.43,135.0,22.5,72.0,36.0,2,1,0,2,0
157000,-0.31,72.0,18.0,23.0,23.0,1,0,0,1,0
158000,0.28,150.0,16.666666666666668,0.0,0.0,0,2,0,1,0
159000,0.18,414.0,25.875,0.0,0.0,0,0,0,0,0
160000,-0.21,304.0,33.77777777777778,2.0,2.0,1,0,0,1,0
161000,-0.39,117.0,23.4,92.0,30.666666666666668,3,0,0,4,0
162000,-0.58,485.0,32.333333333333336,0.0,0.0,0,0,0,1,0
163000,0.51,94.0,31.333333333333332,43.0,21.5,2,0,0,2,0
164000,0.57,61.0,15.25,919.0,131.28571428571428,7,0,0,7,0
165000,-0.44,135.0,27.0,68.0,34.0,2,0,0,3,0
166000,-0.44,133.0,19.0,263.0,43.833333333333336,6,0,0,7,0
167000,0.9,63.0,31.5,16.0,8.0,2,2,0,2,0
168000,-0.74,350.0,25.0,0.0,0.0,0,0,0,0,0
169000,3.13,5.0,2.5,69.0,23.0,3,0,0,3,0
