episode,reward,waiting_time,steps,avg_queue
521,-42,34.4,200,34.4
522,-62,35.13,200,35.13
523,-42,34.4,200,34.4
524,-62,33.68,200,33.68
525,-42,34.4,200,34.4
526,-42,34.4,200,34.4
527,-42,34.4,200,34.4
528,-42,34.4,200,34.4
529,-42,34.4,200,34.4
530,-42,34.4,200,34.4
531,-42,34.4,200,34.4
532,-50,34.285,200,34.285
533,-42,34.4,200,34.4
534,-114,33.45,200,33.45
535,-170,33.06,200,33.06
536,-138,31.805,200,31.805
537,-370,20.245,200,20.245
538,-42,36.16,200,36.16
539,-154,30.54,200,30.54
540,-256,24.405,200,24.405
541,-76,35.13,200,35.13
542,-54,33.775,200,33.775
543,-142,30.98,200,30.98
544,-190,29.675,200,29.675
545,-54,35.825,200,35.825
546,-54,35.67,200,35.67
547,-54,35.67,200,35.67
548,-134,33.125,200,33.125
549,-138,30.98,200,30.98
550,-140,34.305,200,34.305
551,-122,31.855,200,31.855
552,-54,35.825,200,35.825
553,-114,34.22,200,34.22
554,-96,33.345,200,33.345
555,-80,34.185,200,34.185
556,-54,35.825,200,35.825
557,-100,33.43,200,33.43
558,-114,32.785,200,32.785
559,-146,33.69,200,33.69
560,-292,26.855,200,26.855
561,-104,34.98,200,34.98
562,-58,35.235,200,35.235
563,-136,33.345,200,33.345
564,-46,36.0,200,36.0
565,-76,35.13,200,35.13
566,-66,35.11,200,35.11
567,-62,35.89,200,35.89
568,-146,33.305,200,33.305
569,-150,33.095,200,33.095
570,-42,36.485,200,36.485
571,-38,37.065,200,37.065
572,-42,36.365,200,36.365
573,-118,35.17,200,35.17
574,-144,33.42,200,33.42
575,-62,35.89,200,35.89
576,-42,36.485,200,36.485
577,-58,36.4,200,36.4
578,-38,37.065,200,37.065
579,-38,37.065,200,37.065
580,-46,36.0,200,36.0
581,-120,31.225,200,31.225
582,-120,32.305,200,32.305
583,-42,34.4,200,34.4
584,-90,33.85,200,33.85
585,-98,33.915,200,33.915
